Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
200m,Women,28,2:02.94,Shirley Babashoff,United States,1974-08-23,US National Championships,"Concord, United States"
200m,Women,28,2:02.94,Shirley Babashoff,United States,1974-08-31,USA vs East Germany Dual Meet,"Concord, United States"
200m,Women,30,2:02.27,Kornelia Ender,East Germany,1975-03-15,East Germany vs Soviet Union Dual Meet,"Dresden, East Germany"
200m,Women,31,1:59.78,Kornelia Ender,East Germany,1976-06-02,East German Championships,"East Berlin, East Germany"
200m,Women,32,1:59.26,Kornelia Ender,East Germany,1976-07-22,Olympic Games,"Montreal, Canada"
200m,Women,33,1:59.04,Barbara Krause,East Germany,1978-07-02,East German Championships,"East Berlin, East Germany"
200m,Women,34,1:58.53,Cynthia Woodhead,United States,1978-08-22,World Championships,"West Berlin, West Germany"
200m,Women,35,1:58.43,Cynthia Woodhead,United States,1979-07-03,Pan American Games,"San Juan, Puerto Rico"
200m,Women,36,1:58.23,Cynthia Woodhead,United States,1979-09-03,World Cup,"Tokyo, Japan"
200m,Women,37,1:57.75,Kristin Otto,East Germany,1984-05-23,East German Championships,"Magdeburg, East Germany"
200m,Women,38,1:57.55,Heike Friedrich,East Germany,1986-06-18,East German Championships,"East Berlin, East Germany"
200m,Women,39,1:56.78,Franziska van Almsick,Germany,1994-09-06,World Championships,"Rome, Italy"
200m,Women,40,1:56.64,Franziska van Almsick,Germany,2002-08-03,European Championships,"Berlin, Germany"
200m,Women,41,1:56.47,Federica Pellegrini,Italy,2007-03-27,World Championships,"Melbourne, Australia"
200m,Women,42,1:55.52,Laure Manaudou,France,2007-03-28,World Championships,"Melbourne, Australia"
200m,Women,43,1:55.45,Federica Pellegrini,Italy,2008-08-11,Olympic Games,"Beijing, China"
200m,Women,44,1:54.82,Federica Pellegrini,Italy,2008-08-13,Olympic Games,"Beijing, China"
200m,Women,45,1:54.47,Federica Pellegrini,Italy,2009-03-08,Italian Championships,"Riccione, Italy"
200m,Women,46,1:53.67,Federica Pellegrini,Italy,2009-07-28,World Championships,"Rome, Italy"
200m,Women,47,1:52.98,Federica Pellegrini,Italy,2009-07-29,World Championships,"Rome, Italy"
200m,Women,48,1:52.85,Mollie O'Callaghan,Australia,2023-07-26,World Championships,"Fukuoka, Japan"
200m,Women,49,1:52.23,Ariarne Titmus,Australia,2024-06-12,Australian Trials,"Brisbane, Australia"
400m,Men,1,5:36.8,Henry Taylor,Great Britain,1908-07-16,Olympic Games,"London, United Kingdom"
400m,Men,2,5:35.8,Sydney Battersby,Great Britain,1911-09-11,Local Meet (Kentish Town),"London, United Kingdom"
400m,Men,3,5:29.0,Alajos Kenyery,Hungary,1912-04-21,-,"Magdeburg, Germany"
400m,Men,4,5:28.4,Alajos Kenyery,Hungary,1912-06-05,-,"Budapest, Hungary"
400m,Men,5,5:24.4,George Hodgson,Canada,1912-07-14,Olympic Games,"Stockholm, Sweden"
400m,Men,6,5:21.6,Jack Hatfield,Great Britain,1912-09-26,Local Meet (Shoreditch),"London, United Kingdom"
400m,Men,7,5:14.6,Norman Ross,United States,1919-10-09,-,"Los Angeles, United States"
400m,Men,8,5:14.4,Norman Ross,United States,1921-09-25,-,"Brighton Beach, United States"
400m,Men,9,5:11.8,Arne Borg,Sweden,1922-04-09,Local Meet,"Stockholm, Sweden"
400m,Men,10,5:06.6,Johnny Weissmuller,United States,1922-06-22,-,"Honolulu, United States"
400m,Men,11,4:57.0,Johnny Weissmuller,United States,1923-03-06,-,"New Haven, United States"
400m,Men,12,4:54.7,Arne Borg,Sweden,1924-12-09,Local Meet,"Stockholm, Sweden"
400m,Men,13,4:50.3,Arne Borg,Sweden,1925-09-11,Local Meet,"Stockholm, Sweden"
400m,Men,14,4:47.0,Jean Taris,France,1931-04-16,Local Meet,"Paris, France"
400m,Men,15,4:46.4,Shozo Makino,Japan,1933-08-14,-,"Tokyo, Japan"
400m,Men,16,4:38.7,Jack Medica,United States,1934-08-30,-,"Honolulu, United States"
400m,Men,17,4:38.5,Bill Smith,United States,1941-05-13,-,"Honolulu, United States"
400m,Men,18,4:35.2,Alex Jany,France,1947-09-12,European Championships,"Monte Carlo, Monaco"
400m,Men,19,4:34.6,Hironoshin Furuhashi,Japan,1949-07-24,Local Meet,"Tokyo, Japan"
400m,Men,20,4:33.3,Hironoshin Furuhashi,Japan,1949-08-18,US National Championships,"Los Angeles, United States"
400m,Men,21,4:33.1,John Marshall,Australia,1950-03-11,Intercollegiate Event,"New Haven, United States"
400m,Men,22,4:29.5,John Marshall,Australia,1950-04-01,US National Indoor Championships,"New Haven, United States"
400m,Men,-,4:26.9,John Marshall,Australia,1951-03-24,Sanctioned Time Trial,"New Haven, United States"
400m,Men,-,4:26.7,Ford Konno,United States,1954-04-03,Intercollegiate Event,"New Haven, United States"
